resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,athlete.resource_state,athlete.firstname,athlete.lastname
2,Corrida matinal,6075.6,2522,2611,95.6,Run,Run,,2,Marcio,C.
2,Corrida matinal,13009.4,4250,4670,118.4,Run,Run,,2,Marcio,C.
2,Corrida matinal,9063.6,3005,3044,121.8,Run,Run,,2,Marcio,C.
2,Corrida matinal,9068.4,3266,4127,131.0,Run,Run,,2,Marcio,C.
2,Corrida matinal,14490.5,4803,5292,145.0,Run,Run,,2,Marcio,C.
2,Corrida matinal,11007.5,3604,3641,110.2,Run,Run,,2,Marcio,C.
2,Corrida matinal,10613.4,3517,3648,111.4,Run,Run,,2,Marcio,C.
2,Corrida matinal,7008.8,2418,2421,117.0,Run,Run,,2,Marcio,C.
2,Corrida matinal,9067.0,3003,3031,135.2,Run,Run,,2,Marcio,C.
2,Corrida matinal,6359.5,2100,2103,109.6,Run,Run,,2,Marcio,C.
2,10k sindjus,9725.2,2708,2712,72.6,Run,Run,0.0,2,Marcio,C.
2,Corrida matinal,10823.2,3603,4375,173.8,Run,Run,,2,Marcio,C.
2,Corrida matinal,8760.2,2762,2765,130.4,Run,Run,,2,Marcio,C.
2,Corrida matinal,12010.3,3914,4214,121.0,Run,Run,,2,Marcio,C.
2,Corrida matinal,8014.2,2554,2653,120.6,Run,Run,,2,Marcio,C.
2,Corrida matinal,6700.8,2111,2210,99.0,Run,Run,,2,Marcio,C.
2,Corrida matinal,10011.2,3317,3891,104.2,Run,Run,,2,Marcio,C.
2,Corrida matinal,8036.9,2697,2755,138.8,Run,Run,,2,Marcio,C.
2,Corrida matinal,6957.0,2234,2569,92.4,Run,Run,,2,Marcio,C.
2,Corrida matinal,865.0,227,303,8.6,Run,Run,,2,Marcio,C.
2,Corrida matinal,667.4,251,542,18.6,Run,Run,,2,Marcio,C.
2,Corrida matinal,12008.7,3687,4043,95.4,Run,Run,,2,Marcio,C.
2,Corrida matinal,8010.2,2696,2973,79.0,Run,Run,,2,Marcio,C.
2,Corrida matinal,11503.9,3692,3735,115.4,Run,Run,,2,Marcio,C.
2,Corrida matinal,7411.4,2228,2284,91.8,Run,Run,,2,Marcio,C.
2,Corrida matinal,393.7,134,138,6.0,Run,Run,,2,Marcio,C.
2,Corrida matinal,10007.9,3242,3310,81.4,Run,Run,,2,Marcio,C.
2,Corrida matinal,8010.9,2563,2628,142.6,Run,Run,,2,Marcio,C.
2,Corrida matinal,6210.4,2192,2201,101.8,Run,Run,,2,Marcio,C.
2,Corrida matinal,11010.2,3430,3507,109.0,Run,Run,,2,Marcio,C.
